workout_name,region,equipment,info
T-Bar Row,Back,Barbel,더 좁은 그립을 허용하는 바벨 로우의 변형으로 중앙 및 하부 등 근육을 타겟으로 합니다.
Front Squat,Leg,Barbel,바벨을 몸 앞에 두고 수행하는 스쿼트의 변형으로 대퇴사두근에 더 집중합니다.
Hack Squat,Leg,Machine,하부 등에 스트레스를 덜 주면서 대퇴사두근을 타겟으로 하는 기계 기반 스쿼트 변형입니다.
Leg Extension,Leg,Machine,대퇴 앞쪽의 대퇴사두근을 특정하여 타겟으로 하는 고립 운동입니다.
Standing Calf Raise,Leg,Machine,서서 수행하는 카프 레이즈 변형으로 비복근을 타겟으로 합니다.
Seated Calf Raise,Leg,Machine,앉아서 수행하는 카프 레이즈 변형으로 가자미근을 타겟으로 합니다.
Arnold Press,Shoulder,Dumbel,회전을 포함하여 삼각근의 세 부위를 모두 타겟으로 하는 숄더 프레스의 변형입니다.
Upright Row,Shoulder,Barbel,측면 삼각근과 상부 승모근을 타겟으로 하는 운동이지만 주의해서 수행해야 합니다.
Shrug,Shoulder,Dumbel,상부 등의 승모근을 특정하여 타겟으로 하는 운동입니다.
Hammer Curl,Arm,Dumbel,이두근과 상완근 모두를 타겟으로 하는 비세프 컬의 변형입니다.
Preacher Curl,Arm,Barbel,프리처 벤치에서 수행하는 이두근 운동으로 이두근을 고립시키고 몸의 움직임을 줄입니다.
Skull Crusher,Arm,Barbel,벤치에 누워 수행하는 삼두근 운동으로 삼두근의 세 부위를 모두 타겟으로 합니다.
Dips,Arm,Body,주로 삼두근과 하부 가슴 근육을 타겟으로 하는 복합 체중 운동입니다.
Cable Tricep Pushdown,Arm,Machine,케이블 기계를 사용하여 수행하는 삼두근을 위한 고립 운동입니다.
Chin-up,Back,Body,언더핸드 그립을 사용하는 풀업의 변형으로 등 근육과 이두근을 타겟으로 합니다.
Inverted Row,Back,Body,상부 등 근육을 타겟으로 하는 체중 운동으로 풀업의 전단계로 활용할 수 있습니다.
Burpee,Cardio,Body,스쿼트 푸시업 점프를 결합한 전신 운동으로 근력과 심혈관 이점을 모두 제공합니다.
Jump Rope,Cardio,ETC,협응력과 지구력을 향상시키고 효율적으로 칼로리를 소모하는 고전적인 심혈관 운동입니다.
Box Jump,Cardio,ETC,하체의 폭발적인 파워를 향상시키면서 심혈관 이점도 제공하는 플라이오메트릭 운동입니다.
